13/12/2023 16:23:22:getField ['4', '12548.66', '0.000']
13/12/2023 16:23:26:getTemprature ['2', '12552.56', '47.6010']
13/12/2023 16:23:26:getField ['4', '12553.06', '0.000']
13/12/2023 16:23:30:getTemprature ['2', '12557.00', '47.6004']
13/12/2023 16:23:31:getField ['4', '12557.48', '0.000']
13/12/2023 16:23:35:getTemprature ['2', '12561.41', '47.6031']
13/12/2023 16:23:35:getField ['4', '12561.89', '0.000']
13/12/2023 16:23:39:getTemprature ['2', '12565.81', '47.5957']
13/12/2023 16:23:39:getField ['4', '12566.31', '0.000']
13/12/2023 16:23:43:getTemprature ['2', '12570.23', '47.6015']
13/12/2023 16:23:44:getField ['4', '12570.70', '0.000']
13/12/2023 16:23:48:getTemprature ['2', '12574.64', '47.5989']
13/12/2023 16:23:48:getField ['4', '12575.14', '0.000']
13/12/2023 16:25:16:getTemprature ['2', '12663.25', '47.5982']
13/12/2023 16:25:17:getField ['4', '12663.72', '0.000']
13/12/2023 16:25:18:getTemprature ['2', '12664.42', '47.6009']
13/12/2023 16:25:18:getField ['4', '12664.94', '0.000']
13/12/2023 16:25:23:getTemprature ['2', '12669.63', '47.6014']
13/12/2023 16:25:23:getField ['4', '12670.13', '0.000']
13/12/2023 16:25:28:getTemprature ['2', '12674.84', '47.6003']
13/12/2023 16:25:28:getField ['4', '12675.36', '0.000']
13/12/2023 16:25:33:getTemprature ['2', '12680.08', '47.6003']
13/12/2023 16:25:34:getField ['4', '12680.56', '0.000']
13/12/2023 16:25:38:getTemprature ['2', '12685.28', '47.6019']
13/12/2023 16:25:39:getField ['4', '12685.83', '0.000']
13/12/2023 16:25:44:getTemprature ['2', '12690.50', '47.6030']
13/12/2023 16:25:44:getField ['4', '12690.98', '0.000']
13/12/2023 16:25:49:getTemprature ['2', '12695.73', '47.5982']
13/12/2023 16:25:49:getField ['4', '12696.22', '0.000']
13/12/2023 16:25:54:getTemprature ['2', '12700.92', '47.5988']
13/12/2023 16:25:55:getField ['4', '12701.44', '0.000']
13/12/2023 16:25:59:getTemprature ['2', '12706.17', '47.5993']
13/12/2023 16:26:00:getField ['4', '12706.66', '0.000']
13/12/2023 16:26:04:getTemprature ['2', '12711.36', '47.5993']
13/12/2023 16:26:05:getField ['4', '12711.86', '0.000']
13/12/2023 16:26:16:getTemprature ['2', '12716.61', '47.6056']
13/12/2023 16:26:17:getField ['4', '12723.44', '0.000']
13/12/2023 16:26:21:getTemprature ['2', '12728.16', '47.6003']
13/12/2023 16:26:22:getField ['4', '12728.75', '0.000']
13/12/2023 16:26:27:getTemprature ['2', '12733.39', '47.5998']
13/12/2023 16:26:27:getField ['4', '12733.89', '0.000']
13/12/2023 16:26:32:getTemprature ['2', '12738.63', '47.6003']
13/12/2023 16:26:32:getField ['4', '12739.11', '0.000']
13/12/2023 16:29:50:getTemprature ['2', '12937.36', '47.6018']
